paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z
paper1,2026-03-08_062530,0,0,GPT,False,False,1087,0.008373722905524517,0.0014611057657874732,0.0005292222921980464,0.0057650347482619945,,,,,,,,,
paper1,2026-03-08_062530,0,0,GPT+IndFE,False,True,1087,0.06019966398461729,0.0015146251643081555,0.0005297541106172998,0.004248317223349158,,,,,,,,,
paper1,2026-03-08_062530,0,0,GPT+YearFE,True,False,1087,0.01945646905735543,0.0010998233649183074,0.0006455636921116915,0.08844395180993901,,,,,,,,,
paper1,2026-03-08_062530,0,0,GPT+YearFE+IndFE,True,True,1087,0.07073082327601588,0.0011572449756273437,0.0006295016605616446,0.06601070791116403,,,,,,,,,
paper1,2026-03-08_062530,0,0,LMMD,False,False,1087,0.008292719718014707,,,,0.0014540215904866854,0.00046542511716711384,0.001783667869322436,,,,,,
paper1,2026-03-08_062530,0,0,LMMD+IndFE,False,True,1087,0.058729313163067065,,,,0.001516344911454381,0.0004695974366651562,0.0012421021617760825,,,,,,
paper1,2026-03-08_062530,0,0,LMMD+YearFE,True,False,1087,0.020297433145233468,,,,0.0011095840877071248,0.0005147197478137631,0.03110668417146402,,,,,,
paper1,2026-03-08_062530,0,0,LMMD+YearFE+IndFE,True,True,1087,0.0704227713860518,,,,0.0011080529321317568,0.0005254655177655822,0.03496986109086871,,,,,,
paper1,2026-03-08_062530,0,0,GPT+LMMD,False,False,1087,0.011615760058065638,0.0010221142730752488,0.0005816706460211463,0.07888295959086104,0.001009579770788403,0.0005109043764163003,0.04814752352877238,,,,,,
paper1,2026-03-08_062530,0,0,GPT+LMMD+IndFE,False,True,1087,0.06241523155869266,0.0011176267530687164,0.0005930365633899909,0.05948613025310748,0.0009531049824837469,0.0005282203189075561,0.07117329738537387,,,,,,
paper1,2026-03-08_062530,0,0,GPT+LMMD+YearFE,True,False,1087,0.021766355769608725,0.0007519890505227138,0.0006621939603241754,0.25612300403439603,0.0008573843197789563,0.0005214596968692497,0.10013478363395374,,,,,,
paper1,2026-03-08_062530,0,0,GPT+LMMD+YearFE+IndFE,True,True,1087,0.07219836877643793,0.0008590397922087407,0.0006571293654033598,0.19112398093575944,0.0007803160226578333,0.0005415271929552464,0.1495975494875535,,,,,,
paper1,2026-03-08_062530,0,0,LMMD_Neg,False,False,1087,0.00826598714805915,,,,,,,-0.001451676092802931,0.00046276313533241816,0.0017070105128901808,,,
paper1,2026-03-08_062530,0,0,LMMD_Neg+IndFE,False,True,1087,0.05770239747163253,,,,,,,-0.0013754218481401772,0.0004730691165939499,0.0036439586865059216,,,
paper1,2026-03-08_062530,0,0,LMMD_Neg+YearFE,True,False,1087,0.020162468623822538,,,,,,,-0.0011050889912202605,0.0004932966876163151,0.02507718507784732,,,
paper1,2026-03-08_062530,0,0,LMMD_Neg+YearFE+IndFE,True,True,1087,0.06951006414931171,,,,,,,-0.0009454848571131574,0.0005137101146158023,0.06569446705070657,,,
paper1,2026-03-08_062530,0,0,LMMD_Pos,False,False,1087,0.0018539859208976939,,,,,,,,,,0.0006875045514951417,0.00046369723994045596,0.13816522479521645
paper1,2026-03-08_062530,0,0,LMMD_Pos+IndFE,False,True,1087,0.05391345693918492,,,,,,,,,,0.0009231568985115749,0.0005293454034120005,0.08116616752360116
paper1,2026-03-08_062530,0,0,LMMD_Pos+YearFE,True,False,1087,0.0168701313547317,,,,,,,,,,0.0005234553637265913,0.00048516956672603435,0.28062687050180635
paper1,2026-03-08_062530,0,0,LMMD_Pos+YearFE+IndFE,True,True,1087,0.06833831718569361,,,,,,,,,,0.0007263370878072817,0.0005509515758770734,0.18739253634265285
paper1,2026-03-08_062530,0,0,LMMD_PosNeg,False,False,1087,0.009548193406364258,,,,,,,-0.0014051900438737648,0.0004640608482356988,0.002461538712203395,0.0005736302737102746,0.00046616809976199704,0.21850155634319224
paper1,2026-03-08_062530,0,0,LMMD_PosNeg+IndFE,False,True,1087,0.05911807168192673,,,,,,,-0.0012852058161219866,0.00048014876328068026,0.007435504770825544,0.0007337886035560236,0.0005313942859700401,0.16731767636225747
paper1,2026-03-08_062530,0,0,LMMD_PosNeg+YearFE,True,False,1087,0.02096090485089397,,,,,,,-0.0010747245151174613,0.0004904292613862435,0.028423178774369933,0.0004572640640588868,0.0004819854200018163,0.34276846832829744
paper1,2026-03-08_062530,0,0,LMMD_PosNeg+YearFE+IndFE,True,True,1087,0.07050356633861765,,,,,,,-0.0008768484750958079,0.0005142073129943254,0.08814909379382124,0.0006204848460685431,0.0005471050122199026,0.25674259811668876
paper1,2026-03-08_062530,0,0,GPT+Neg+Pos,False,False,1087,0.012054467586167905,0.0009203685600181062,0.0005877174258497633,0.11734739381683539,,,,-0.0009716924659402787,0.0004982639767471987,0.05115753260271062,0.0004623607836514814,0.00047480190153566807,0.3301572212787085
paper1,2026-03-08_062530,0,0,GPT+Neg+Pos+IndFE,False,True,1087,0.06241818555260348,0.0011077589690546407,0.0005918853789524384,0.0612651695864533,,,,-0.0006739007082471554,0.0004994743875121548,0.1772663928938818,0.0006252789475391041,0.0005410365440380841,0.24780160906344162
paper1,2026-03-08_062530,0,0,GPT+Neg+Pos+YearFE,True,False,1087,0.022084604313075906,0.0006738882068717809,0.0006711083131509867,0.3153100565418656,,,,-0.0008279634799170988,0.0005001827915128705,0.09785923869852527,0.0003900072293163083,0.0004815290749955828,0.4179775609911657
paper1,2026-03-08_062530,0,0,GPT+Neg+Pos+YearFE+IndFE,True,True,1087,0.07220194609667607,0.0008692807440218413,0.0006593593586694332,0.18737923668056777,,,,-0.0005001127463311814,0.0005087573453186403,0.3256033022195204,0.0005580731328074166,0.0005500169957596988,0.31027409366166303
paper1,2026-03-08_062530,0,1,GPT,False,False,1087,0.00926901450536588,0.0020891968987742262,0.000721326895505829,0.0037756152847001215,,,,,,,,,
paper1,2026-03-08_062530,0,1,GPT+IndFE,False,True,1087,0.06705806978718432,0.0021104121506215056,0.0007422952520875275,0.00446784629714509,,,,,,,,,
paper1,2026-03-08_062530,0,1,GPT+YearFE,True,False,1087,0.022807083022459596,0.00168619530681835,0.0008642808830507732,0.05105934382024396,,,,,,,,,
paper1,2026-03-08_062530,0,1,GPT+YearFE+IndFE,True,True,1087,0.08050260205299775,0.0016926670272093063,0.0008722892260574439,0.05232037613413105,,,,,,,,,
paper1,2026-03-08_062530,0,1,LMMD,False,False,1087,0.01142227840293275,,,,0.0023192040580033548,0.0007509601666641052,0.0020129271527359947,,,,,,
paper1,2026-03-08_062530,0,1,LMMD+IndFE,False,True,1087,0.06782688116143021,,,,0.002418409150185907,0.0007918425904513429,0.0022569625279056952,,,,,,
paper1,2026-03-08_062530,0,1,LMMD+YearFE,True,False,1087,0.025267214064777166,,,,0.0018973142904603196,0.0008210502604125157,0.020841794685013085,,,,,,
paper1,2026-03-08_062530,0,1,LMMD+YearFE+IndFE,True,True,1087,0.08170935496878207,,,,0.001910564826958862,0.0008554587187749508,0.025523862541587075,,,,,,
paper1,2026-03-08_062530,0,1,GPT+LMMD,False,False,1087,0.01448100934917651,0.0013327310454138573,0.0007716076193606071,0.08412933917303042,0.0017396980021784963,0.0008069336016826564,0.031088585437995118,,,,,,
paper1,2026-03-08_062530,0,1,GPT+LMMD+IndFE,False,True,1087,0.07094095832378433,0.0013961396005701386,0.0007972492101157205,0.07991216012345179,0.0017148096995651555,0.000851645699121575,0.04405945315391666,,,,,,
paper1,2026-03-08_062530,0,1,GPT+LMMD+YearFE,True,False,1087,0.026849787849051232,0.001060801855023126,0.000857925120539371,0.21628253284912569,0.0015415458368257385,0.0008235561595421641,0.06123202350546313,,,,,,
paper1,2026-03-08_062530,0,1,GPT+LMMD+YearFE+IndFE,True,True,1087,0.08336338535146215,0.0011268159966646308,0.0008799701861820321,0.2003636838475814,0.0014806671718768857,0.0008631508330762632,0.0862680453119308,,,,,,
paper1,2026-03-08_062530,0,1,LMMD_Neg,False,False,1087,0.009727881046099451,,,,,,,-0.0021402855395661114,0.0007516773292370758,0.004408539933397929,,,
paper1,2026-03-08_062530,0,1,LMMD_Neg+IndFE,False,True,1087,0.06589367606596552,,,,,,,-0.0021244759599524906,0.0007874458886884827,0.00697715584481687,,,
paper1,2026-03-08_062530,0,1,LMMD_Neg+YearFE,True,False,1087,0.023577425118294637,,,,,,,-0.001674517193065877,0.0008067876407197492,0.037936840027400574,,,
paper1,2026-03-08_062530,0,1,LMMD_Neg+YearFE+IndFE,True,True,1087,0.07983524818239984,,,,,,,-0.0015477897023065982,0.0008482123550730388,0.06803623548618594,,,
paper1,2026-03-08_062530,0,1,LMMD_Pos,False,False,1087,0.003431773675754868,,,,,,,,,,0.0012712234946582787,0.0006421381543863972,0.047740296935860585
paper1,2026-03-08_062530,0,1,LMMD_Pos+IndFE,False,True,1087,0.06155741419474792,,,,,,,,,,0.0015549847375872,0.0007765230522810524,0.04523135317871071
paper1,2026-03-08_062530,0,1,LMMD_Pos+YearFE,True,False,1087,0.020663074998995556,,,,,,,,,,0.0010939669694239925,0.000676895657407606,0.10606123059458034
paper1,2026-03-08_062530,0,1,LMMD_Pos+YearFE+IndFE,True,True,1087,0.0786837959149137,,,,,,,,,,0.0013421083904317016,0.0008115233175002539,0.09816536896402206
paper1,2026-03-08_062530,0,1,LMMD_PosNeg,False,False,1087,0.012303998179448494,,,,,,,-0.00205073530625315,0.0007443919121871846,0.005870765943883157,0.0011050352961682506,0.0006335143094101702,0.08110781332544294
paper1,2026-03-08_062530,0,1,LMMD_PosNeg+IndFE,False,True,1087,0.06817103418286086,,,,,,,-0.001968966090869319,0.0007844377395394939,0.012071923539035313,0.0012648679743606907,0.0007523171538069749,0.09270539499771331
paper1,2026-03-08_062530,0,1,LMMD_PosNeg+YearFE,True,False,1087,0.025623812927533574,,,,,,,-0.001608450909772697,0.0007970968725127122,0.043603097521988765,0.000994903949392371,0.0006643940993358497,0.134273464760108
paper1,2026-03-08_062530,0,1,LMMD_PosNeg+YearFE+IndFE,True,True,1087,0.08175066385122676,,,,,,,-0.0014182682467794474,0.0008424683693745348,0.09228459658974816,0.0011708965133829675,0.0007893676732254113,0.1379854896491978
paper1,2026-03-08_062530,0,1,GPT+Neg+Pos,False,False,1087,0.014725495683546863,0.001229503381132395,0.0007879715942170337,0.11867962033573899,,,,-0.0014716338886955583,0.000808664468342136,0.06878451534301078,0.0009563924370059674,0.0006482656825679707,0.14012938793048163
paper1,2026-03-08_062530,0,1,GPT+Neg+Pos+IndFE,False,True,1087,0.07094507280239815,0.0013803120951218224,0.0008045792036713204,0.08624073894682958,,,,-0.0012072554139253336,0.0008368797383960797,0.14914237714654294,0.0011296605918689204,0.0007619834462675614,0.1382002786633297
paper1,2026-03-08_062530,0,1,GPT+Neg+Pos+YearFE,True,False,1087,0.02695944417144891,0.0009984958965974298,0.0008659814847148903,0.24890126313311822,,,,-0.0012428266436478332,0.0008086261466579222,0.1243029228806692,0.0008952499224724822,0.0006668849419497618,0.17945487831564122
paper1,2026-03-08_062530,0,1,GPT+Neg+Pos+YearFE+IndFE,True,True,1087,0.08338062175012673,0.0011573669599252595,0.0008789280202842917,0.18790775462684128,,,,-0.0009166794469652076,0.0008409933980816755,0.27571490239192453,0.001087801086114491,0.0007909535119927114,0.16903739040817056
paper1,2026-03-08_062530,-1,1,GPT,False,False,1087,0.007679064306086114,0.0023897778574765074,0.0008899824752921109,0.007248716802851524,,,,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+IndFE,False,True,1087,0.057726963615642224,0.0023236417004903493,0.0009188720947036994,0.011445395455857264,,,,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+YearFE,True,False,1087,0.032055532553252886,0.0018441923246700627,0.0010400191214046666,0.0761907273995652,,,,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+YearFE+IndFE,True,True,1087,0.08178833986685186,0.0017257570993854843,0.001041717943371673,0.09759121493566371,,,,,,,,,
paper1,2026-03-08_062530,-1,1,LMMD,False,False,1087,0.012332731096813099,,,,0.0030285378916905118,0.0008925011895537376,0.0006905212161194854,,,,,,
paper1,2026-03-08_062530,-1,1,LMMD+IndFE,False,True,1087,0.06127331200761754,,,,0.0031438692670228007,0.0009649139264351894,0.0011212679720690442,,,,,,
paper1,2026-03-08_062530,-1,1,LMMD+YearFE,True,False,1087,0.03616407699258306,,,,0.0024712065733926603,0.0009583527320205726,0.009920211606324161,,,,,,
paper1,2026-03-08_062530,-1,1,LMMD+YearFE+IndFE,True,True,1087,0.08482101430556266,,,,0.0024715677597856233,0.0010235800551672346,0.0157511734994996,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+LMMD,False,False,1087,0.014241366527530941,0.0013230435985437054,0.0009282519721511526,0.15406861301520794,0.002453244189247871,0.0009316906633327426,0.008460689080173119,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+LMMD+IndFE,False,True,1087,0.0629398771649764,0.001283559776361274,0.000986793376441963,0.19334810413425785,0.0024970056202084845,0.0010345347618009137,0.01579359228561218,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+LMMD+YearFE,True,False,1087,0.03700916499386053,0.0009741908443784643,0.0010139268661850283,0.3366478226506464,0.002144485453318887,0.0009423063940339947,0.022858963799709503,,,,,,
paper1,2026-03-08_062530,-1,1,GPT+LMMD+YearFE+IndFE,True,True,1087,0.08551091667966582,0.0009145677249758882,0.0010531295959001418,0.3851598141935214,0.0021226460888610294,0.001036663229594203,0.040601625426287,,,,,,
paper1,2026-03-08_062530,-1,1,LMMD_Neg,False,False,1087,0.011014590273034641,,,,,,,-0.0028621181249644844,0.0008981428270104497,0.0014390242207886095,,,
paper1,2026-03-08_062530,-1,1,LMMD_Neg+IndFE,False,True,1087,0.05704947753755063,,,,,,,-0.002380780278628078,0.0009561131241339881,0.012772106820511442,,,
paper1,2026-03-08_062530,-1,1,LMMD_Neg+YearFE,True,False,1087,0.03466871817037154,,,,,,,-0.0022403326650620187,0.000926783729519807,0.015635273272864694,,,
